country_region_code,country_region,sub_region_1,sub_region_2,metro_area,iso_3166_2_code,census_fips_code,place_id,date,retail_and_recreation_percent_change_from_baseline,grocery_and_pharmacy_percent_change_from_baseline,parks_percent_change_from_baseline,transit_stations_percent_change_from_baseline,workplaces_percent_change_from_baseline,residential_percent_change_from_baseline
PL,Poland,Greater Poland Voivodeship,,,PL-WP,,ChIJRRG3jpPtBEcRUCx0TfnBsbc,2021-01-11,-24,-5,-9,-38,-10,7
PL,Poland,Greater Poland Voivodeship,,,PL-WP,,ChIJRRG3jpPtBEcRUCx0TfnBsbc,2021-01-12,-30,-13,-1,-46,-27,10
PL,Poland,Greater Poland Voivodeship,,,PL-WP,,ChIJRRG3jpPtBEcRUCx0TfnBsbc,2021-01-13,-30,-10,2,-45,-28,10
PL,Poland,Greater Poland Voivodeship,,,PL-WP,,ChIJRRG3jpPtBEcRUCx0TfnBsbc,2021-01-14,-31,-11,6,-45,-28,9
PL,Poland,Greater Poland Voivodeship,,,PL-WP,,ChIJRRG3jpPtBEcRUCx0TfnBsbc,2021-01-15,-35,-12,-9,-47,-27,10
PL,Poland,Greater Poland Voivodeship,,,PL-WP,,ChIJRRG3jpPtBEcRUCx0TfnBsbc,2021-01-16,-38,-17,10,-46,-10,6
PL,Poland,Greater Poland Voivodeship,,,PL-WP,,ChIJRRG3jpPtBEcRUCx0TfnBsbc,2021-01-17,-59,-42,14,-46,-11,5
PL,Poland,Greater Poland Voivodeship,,,PL-WP,,ChIJRRG3jpPtBEcRUCx0TfnBsbc,2021-01-18,-35,-15,-25,-43,-13,9
PL,Poland,Greater Poland Voivodeship,,,PL-WP,,ChIJRRG3jpPtBEcRUCx0TfnBsbc,2021-01-19,-34,-16,-18,-48,-27,11
PL,Poland,Greater Poland Voivodeship,,,PL-WP,,ChIJRRG3jpPtBEcRUCx0TfnBsbc,2021-01-20,-29,-8,-8,-46,-26,10
PL,Poland,Greater Poland Voivodeship,,,PL-WP,,ChIJRRG3jpPtBEcRUCx0TfnBsbc,2021-01-21,-29,-7,-8,-45,-24,8
PL,Poland,Greater Poland Voivodeship,,,PL-WP,,ChIJRRG3jpPtBEcRUCx0TfnBsbc,2021-01-22,-33,-8,-1,-43,-22,9
PL,Poland,Greater Poland Voivodeship,,,PL-WP,,ChIJRRG3jpPtBEcRUCx0TfnBsbc,2021-01-23,-37,-15,-21,-46,-5,6
PL,Poland,Greater Poland Voivodeship,,,PL-WP,,ChIJRRG3jpPtBEcRUCx0TfnBsbc,2021-01-24,-59,-39,-26,-48,-9,5
PL,Poland,Greater Poland Voivodeship,,,PL-WP,,ChIJRRG3jpPtBEcRUCx0TfnBsbc,2021-01-25,-31,-12,-17,-40,-9,7
PL,Poland,Greater Poland Voivodeship,,,PL-WP,,ChIJRRG3jpPtBEcRUCx0TfnBsbc,2021-01-26,-32,-16,-14,-48,-25,10
PL,Poland,Greater Poland Voivodeship,,,PL-WP,,ChIJRRG3jpPtBEcRUCx0TfnBsbc,2021-01-27,-30,-11,-1,-46,-25,10
PL,Poland,Greater Poland Voivodeship,,,PL-WP,,ChIJRRG3jpPtBEcRUCx0TfnBsbc,2021-01-28,-33,-11,-13,-45,-24,10
PL,Poland,Greater Poland Voivodeship,,,PL-WP,,ChIJRRG3jpPtBEcRUCx0TfnBsbc,2021-01-29,-32,-7,-13,-45,-22,10
PL,Poland,Greater Poland Voivodeship,,,PL-WP,,ChIJRRG3jpPtBEcRUCx0TfnBsbc,2021-01-30,-37,-15,14,-41,-6,6
PL,Poland,Greater Poland Voivodeship,,,PL-WP,,ChIJRRG3jpPtBEcRUCx0TfnBsbc,2021-01-31,-26,74,31,-34,2,3
PL,Poland,Greater Poland Voivodeship,,,PL-WP,,ChIJRRG3jpPtBEcRUCx0TfnBsbc,2021-02-01,-23,-12,-16,-34,-8,7
PL,Poland,Greater Poland Voivodeship,,,PL-WP,,ChIJRRG3jpPtBEcRUCx0TfnBsbc,2021-02-02,-25,-12,-18,-42,-24,9
PL,Poland,Greater Poland Voivodeship,,,PL-WP,,ChIJRRG3jpPtBEcRUCx0TfnBsbc,2021-02-03,-26,-11,-19,-42,-25,9
PL,Poland,Greater Poland Voivodeship,,,PL-WP,,ChIJRRG3jpPtBEcRUCx0TfnBsbc,2021-02-04,-26,-9,-15,-41,-24,9
PL,Poland,Greater Poland Voivodeship,,,PL-WP,,ChIJRRG3jpPtBEcRUCx0TfnBsbc,2021-02-05,-27,-4,-17,-41,-22,9
PL,Poland,Greater Poland Voivodeship,,,PL-WP,,ChIJRRG3jpPtBEcRUCx0TfnBsbc,2021-02-06,-26,-12,-5,-32,-5,5
PL,Poland,Greater Poland Voivodeship,,,PL-WP,,ChIJRRG3jpPtBEcRUCx0TfnBsbc,2021-02-07,-64,-45,-40,-51,-12,6
PL,Poland,Greater Poland Voivodeship,,,PL-WP,,ChIJRRG3jpPtBEcRUCx0TfnBsbc,2021-02-08,-36,-17,-19,-29,-11,8
PL,Poland,Greater Poland Voivodeship,,,PL-WP,,ChIJRRG3jpPtBEcRUCx0TfnBsbc,2021-02-09,-26,-8,-14,-41,-26,11
PL,Poland,Greater Poland Voivodeship,,,PL-WP,,ChIJRRG3jpPtBEcRUCx0TfnBsbc,2021-02-10,-22,-3,-9,-38,-25,9
PL,Poland,Greater Poland Voivodeship,,,PL-WP,,ChIJRRG3jpPtBEcRUCx0TfnBsbc,2021-02-11,-20,-4,-11,-39,-24,9
PL,Poland,Greater Poland Voivodeship,,,PL-WP,,ChIJRRG3jpPtBEcRUCx0TfnBsbc,2021-02-12,-27,-3,-17,-40,-23,10
PL,Poland,Greater Poland Voivodeship,,,PL-WP,,ChIJRRG3jpPtBEcRUCx0TfnBsbc,2021-02-13,-20,-3,9,-29,-8,4
PL,Poland,Greater Poland Voivodeship,,,PL-WP,,ChIJRRG3jpPtBEcRUCx0TfnBsbc,2021-02-14,-44,-24,16,-38,-8,4
PL,Poland,Greater Poland Voivodeship,,,PL-WP,,ChIJRRG3jpPtBEcRUCx0TfnBsbc,2021-02-15,-24,-7,-18,-35,-9,6
PL,Poland,Greater Poland Voivodeship,,,PL-WP,,ChIJRRG3jpPtBEcRUCx0TfnBsbc,2021-02-16,-26,-8,-17,-42,-25,9
PL,Poland,Greater Poland Voivodeship,,,PL-WP,,ChIJRRG3jpPtBEcRUCx0TfnBsbc,2021-02-17,-31,-11,-22,-42,-25,9
PL,Poland,Greater Poland Voivodeship,,,PL-WP,,ChIJRRG3jpPtBEcRUCx0TfnBsbc,2021-02-18,-26,-5,-18,-42,-25,9
PL,Poland,Greater Poland Voivodeship,,,PL-WP,,ChIJRRG3jpPtBEcRUCx0TfnBsbc,2021-02-19,-27,-2,-14,-39,-23,8
PL,Poland,Greater Poland Voivodeship,,,PL-WP,,ChIJRRG3jpPtBEcRUCx0TfnBsbc,2021-02-20,-22,-5,33,-25,-4,3
PL,Poland,Greater Poland Voivodeship,,,PL-WP,,ChIJRRG3jpPtBEcRUCx0TfnBsbc,2021-02-21,-36,-4,73,-24,-4,1
PL,Poland,Greater Poland Voivodeship,,,PL-WP,,ChIJRRG3jpPtBEcRUCx0TfnBsbc,2021-02-22,-20,-3,8,-29,-6,5
PL,Poland,Greater Poland Voivodeship,,,PL-WP,,ChIJRRG3jpPtBEcRUCx0TfnBsbc,2021-02-23,-21,-6,15,-38,-23,7
PL,Poland,Greater Poland Voivodeship,,,PL-WP,,ChIJRRG3jpPtBEcRUCx0TfnBsbc,2021-02-24,-18,-1,38,-34,-23,7
PL,Poland,Greater Poland Voivodeship,,,PL-WP,,ChIJRRG3jpPtBEcRUCx0TfnBsbc,2021-02-25,-17,1,49,-32,-23,6
PL,Poland,Greater Poland Voivodeship,,,PL-WP,,ChIJRRG3jpPtBEcRUCx0TfnBsbc,2021-02-26,-23,0,-9,-37,-21,7
PL,Poland,Greater Poland Voivodeship,,,PL-WP,,ChIJRRG3jpPtBEcRUCx0TfnBsbc,2021-02-27,-17,-3,34,-22,-2,2
PL,Poland,Greater Poland Voivodeship,,,PL-WP,,ChIJRRG3jpPtBEcRUCx0TfnBsbc,2021-02-28,-48,-17,-7,-35,-6,3
PL,Poland,Greater Poland Voivodeship,,,PL-WP,,ChIJRRG3jpPtBEcRUCx0TfnBsbc,2021-03-01,-20,-1,-8,-31,-6,5
PL,Poland,Greater Poland Voivodeship,,,PL-WP,,ChIJRRG3jpPtBEcRUCx0TfnBsbc,2021-03-02,-19,-4,24,-38,-23,7
PL,Poland,Greater Poland Voivodeship,,,PL-WP,,ChIJRRG3jpPtBEcRUCx0TfnBsbc,2021-03-03,-18,0,37,-34,-23,6
PL,Poland,Greater Poland Voivodeship,,,PL-WP,,ChIJRRG3jpPtBEcRUCx0TfnBsbc,2021-03-04,-22,-1,-7,-38,-23,7
PL,Poland,Greater Poland Voivodeship,,,PL-WP,,ChIJRRG3jpPtBEcRUCx0TfnBsbc,2021-03-05,-24,1,-7,-37,-21,7
PL,Poland,Greater Poland Voivodeship,,,PL-WP,,ChIJRRG3jpPtBEcRUCx0TfnBsbc,2021-03-06,-19,-1,24,-28,-4,3
PL,Poland,Greater Poland Voivodeship,,,PL-WP,,ChIJRRG3jpPtBEcRUCx0TfnBsbc,2021-03-07,-51,-21,-27,-39,-8,4
PL,Poland,Greater Poland Voivodeship,,,PL-WP,,ChIJRRG3jpPtBEcRUCx0TfnBsbc,2021-03-08,-10,15,1,-27,-6,4
PL,Poland,Greater Poland Voivodeship,,,PL-WP,,ChIJRRG3jpPtBEcRUCx0TfnBsbc,2021-03-09,-20,-4,6,-39,-23,8
PL,Poland,Greater Poland Voivodeship,,,PL-WP,,ChIJRRG3jpPtBEcRUCx0TfnBsbc,2021-03-10,-16,5,17,-35,-23,7
PL,Poland,Greater Poland Voivodeship,,,PL-WP,,ChIJRRG3jpPtBEcRUCx0TfnBsbc,2021-03-11,-24,-2,-22,-40,-24,9
PL,Poland,Greater Poland Voivodeship,,,PL-WP,,ChIJRRG3jpPtBEcRUCx0TfnBsbc,2021-03-12,-22,3,-5,-37,-21,8
PL,Poland,Greater Poland Voivodeship,,,PL-WP,,ChIJRRG3jpPtBEcRUCx0TfnBsbc,2021-03-13,-20,-4,-6,-29,-5,4
PL,Poland,Greater Poland Voivodeship,,,PL-WP,,ChIJRRG3jpPtBEcRUCx0TfnBsbc,2021-03-14,-51,-19,-21,-39,-8,5
PL,Poland,Greater Poland Voivodeship,,,PL-WP,,ChIJRRG3jpPtBEcRUCx0TfnBsbc,2021-03-15,-19,1,-7,-31,-6,5
PL,Poland,Greater Poland Voivodeship,,,PL-WP,,ChIJRRG3jpPtBEcRUCx0TfnBsbc,2021-03-16,-22,-4,-8,-42,-23,8
PL,Poland,Greater Poland Voivodeship,,,PL-WP,,ChIJRRG3jpPtBEcRUCx0TfnBsbc,2021-03-17,-18,2,5,-37,-23,8
PL,Poland,Greater Poland Voivodeship,,,PL-WP,,ChIJRRG3jpPtBEcRUCx0TfnBsbc,2021-03-18,-15,3,-1,-36,-22,8
PL,Poland,Greater Poland Voivodeship,,,PL-WP,,ChIJRRG3jpPtBEcRUCx0TfnBsbc,2021-03-19,-17,5,-10,-35,-21,8
